1709578500, 5, 37
1709578800, 1, 39
1709578800, 2, 44
1709578800, 3, 70
1709578800, 4, 50
1709578800, 5, 40
1709579100, 1, 47
1709579100, 2, 58
1709579100, 3, 52
1709579100, 4, 30
1709579100, 5, 50
1709579400, 1, 53
1709579400, 2, 84
1709579400, 3, 70
1709579400, 4, 52
1709579400, 5, 51
1709579700, 1, 19
1709579700, 2, 73
1709579700, 3, 47
1709579700, 4, 45
1709579700, 5, 63
1709580000, 1, 39
1709580000, 2, 44
1709580000, 3, 28
1709580000, 4, 46
1709580000, 5, 51
1709580300, 1, 54
1709580300, 2, 61
1709580300, 3, 80
1709580300, 4, 29
1709580300, 5, 42
1709580600, 1, 67
1709580600, 2, 34
1709580600, 3, 29
